context_no	DUA_no	sex	age	height	caries	abcess	amtl
5181	1970	F	adult				
5182	1971	M	17-25	1.65			
5183	1972	M	25-30	1.77			
5185	2088		adult				
5186	1973	F	adult	1.55			
5187	1974	M	41-45	1.64	6/15	1/16	4/20
5188	1975	F	40-45				8/14
5189	1976	F	38-41	1-61		1/30	l/30
5190	1977	F	38-41	1.63	3/28		2/30
5191	1978	M	14-18				
5192	1979	F	45+	1.61			8/30
5193	1980	M	12-14				2/28
5194	1981	F	25-28	1.65	3/32		
5195	1982	M	35-38				3/24
5196	1983		6				
5197	2089	M	adult	1.74			
5198	1984	M	adult	1.69			
5199	2090	M	42-45	1.82			
5200	1985	F	<40	1.57			5/30
5202	1987	F	45	1.57			2/32
5203	1988	F	25-28	1.69			
5204	1989		8				
5205	1990	F	30	1.54			
5206	1991	M	45+	1.59			
5207	1992	F	45+	1.55	2/28	1/28	4/32
5208	1993	?	2-4				
5209	1994	M	30	1.65			
5210	1995	?	1.5				
5211	1996	M	30	1.63			
5212	1997	?	1				
5213	1998	M	40	1.71			
5215	2000	M	45+				12/30
5216	2001	M	45+				
5217A	2002	M	17-25	1.62			
5271B	2003	M	17-19				
5217C	2004		juvenile				
5217D	2005		adult				
5218	2006	F	35-45	1.50			
5220	2007	M	30				
5221	2008		4				
5222	2009	M	17-19	1.69			
5223	2010	F	17				
5224	2011	F	30-32	1.61			
5225	2012	F	33-35		2/20		
5226	2091	M	adult				
5227	2013	?	0.5				
5228	2014	?	infant				
5229	2015	M	45+				20/32
5230	2016	M	38+	1.73			
5231	2092		adult				
5232	2017		adolescent				
5233	2018	F	40-50				
5234	2093		juvenile				
5235	2094	M	45+		4/21		3/27
5236	2019	M	35-45				
5237	2095	M	19-22	1.67			
5238	2020	F	38-45	1.62			
5239	2021	F	25-28	1.57			1/29
5240	2022	F	42-45	1.65			
5241	2023	F	25-28	1.54			
5242	2024	M	28-32				
5243	2025	M	25-28	4/32			
5244	2027	M	28-32	1.67			
5245	2029	M	adult				
5246	2030	M	35-38		2/25		
5247	2031	?	1-2				
5248	2032	M	45+				
5249	2033	F	25-28	1.56			
5250	2096		neonate				
5251	2034	M	17-20				
5252	2035		adult				
5253	2036	?	juvenile				
5254	2037	?	1.5				
5255	2038	M	25-28	1-81			
5256	2039	F	adult				
5257	2040	M	43-45	1.73			1/16
5258	2041	F	35-45				
5259	2042	?	1				
5290	2043		adult				
5291	2044	M	32-35				
5293	2045	M	17-22	1.73			
5294	2046	M	28-32				
5295	2047		1.5				
5296	2048	M	25-28				
5297	2049		adult				
5299	2050		juvenile				
5300		?	adult				
5301		?	adult				
5302			adult				
5303		M	25-28	1.81			
5304		M	17-25				
5305			juvenile				
5306	IV	M	40	X	1/29	1/29	
5307		F	32-35	1.61			
5308		F	25-28	1.66			
5309		M	17-25				
5310			juvenile				
5311		F	45+	1.62	1/14		9/29
5313			adolescent				
5314			adult				
5316		M	28-32	1.67	2/32		
5318		?	juvenile				
5319	I	M	adult	1.75			
5322			infant				    
